query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_387_read_307	307	1331	1468	676	1111	158	62	199	419
channel_201_read_233	233	5706	5864	43	4440	906	360	518	1784
channel_387_read_309	309	1103	1111	258	722	281	100	108	489
channel_386_read_85	85	3109	3318	9	2247	652	210	419	1281
channel_410_read_79	79	578	664	18035	399	165	14	100	279
channel_386_read_87	87	8572	8250	58	6680	1127	765	443	2335
channel_386_read_80	80	4493	4972	324	3405	816	272	751	1839
channel_398_read_80	80	10429	11505	51	7825	2116	488	1564	4168
channel_386_read_82	82	7725	8522	152	6024	1304	397	1194	2895
channel_386_read_83	83	1976	2097	101	1663	205	108	229	542
channel_284_read_157	157	10895	11153	123	9052	1286	557	815	2658
channel_471_read_148	148	5793	5368	21	3689	1319	785	360	2464
channel_284_read_153	153	5604	5774	121	4200	994	410	580	1984
channel_284_read_150	150	12905	13066	39	10775	1388	742	903	3033
channel_284_read_151	151	6308	6481	143	5268	679	361	534	1574
channel_471_read_143	143	8768	8350	5	7262	780	726	308	1814
channel_471_read_142	142	2562	2620	4	1748	656	158	216	1030
channel_471_read_141	141	1181	1219	57	770	312	99	137	548
channel_471_read_140	140	7504	7817	47	5983	1066	455	768	2289
channel_489_read_212	212	3247	3066	54	2434	478	335	154	967
channel_284_read_158	158	6284	6291	35	4996	842	446	453	1741
channel_355_read_71	71	3164	3550	626	2246	764	154	540	1458
channel_354_read_236	236	8945	9086	128	7273	1078	594	735	2407
channel_2_read_189	189	1824	1841	134	1488	228	108	125	461
channel_382_read_113	113	1773	1832	4	1440	236	97	156	489
channel_275_read_73	73	4418	4557	53	3572	589	257	396	1242
channel_323_read_109	109	12607	12666	30	9853	1819	935	994	3748
channel_61_read_51	51	3430	3719	5	2749	491	190	479	1160
channel_380_read_3	3	10357	11065	67	8029	1758	570	1278	3606
channel_61_read_53	53	5246	5482	1779	3445	1348	453	689	2490
channel_373_read_95	95	1288	1234	37	1023	156	109	55	320
channel_380_read_7	7	8597	8578	4	6782	1179	636	617	2432
channel_380_read_6	6	13272	12989	5	11256	1151	865	582	2598
channel_61_read_58	58	9604	10016	778	7433	1509	662	1074	3245
channel_380_read_8	8	11725	11308	21	9625	1149	951	534	2634
channel_323_read_103	103	1303	1175	888	827	282	194	66	542
channel_323_read_102	102	3069	3061	185	2305	511	253	245	1009
channel_323_read_105	105	8059	7697	26	6449	878	732	370	1980
channel_442_read_99	99	3425	3423	38	2379	707	339	337	1383
channel_463_read_91	91	10446	10268	0	7603	1864	979	801	3644
channel_388_read_59	59	11620	12058	27	9355	1511	754	1192	3457
channel_388_read_58	58	17801	17603	12	14781	1804	1216	1018	4038
channel_482_read_13	13	7201	6914	30	5845	749	607	320	1676
channel_482_read_14	14	10161	9799	64	8215	1081	865	503	2449
channel_482_read_15	15	2373	2277	18	1882	286	205	109	600
channel_482_read_16	16	7759	8191	151	6441	985	333	765	2083
channel_388_read_51	51	10372	10112	10	8886	797	689	429	1915
channel_388_read_53	53	6877	6953	21	5796	664	417	493	1574
channel_388_read_52	52	11868	12367	6	9667	1560	641	1140	3341
channel_388_read_54	54	3410	3468	10	2731	462	217	275	954
channel_388_read_57	57	11315	11402	46	9531	1087	697	784	2568
channel_314_read_40	40	8037	7741	16	6475	928	634	338	1900
channel_89_read_102	102	13268	13354	272	8452	3480	1336	1422	6238
channel_166_read_76	76	7864	8399	129	6248	1155	461	996	2612
channel_268_read_97	97	12170	11826	654	9375	1731	1064	720	3515
channel_35_read_83	83	6325	6284	9	4869	997	459	418	1874
channel_35_read_85	85	2699	2761	661	1914	558	227	289	1074
channel_35_read_87	87	3048	3275	419	2086	733	229	456	1418
channel_35_read_89	89	9520	10180	16	7273	1752	495	1155	3402
channel_255_read_69	69	1934	1997	318	1347	439	148	211	798
channel_39_read_79	79	11579	11959	48	9128	1745	706	1086	3537
channel_39_read_78	78	7090	7586	83	5456	1282	352	848	2482
channel_255_read_63	63	5794	5678	323	3698	1491	605	489	2585
channel_39_read_74	74	8946	9741	644	6711	1685	550	1345	3580
channel_39_read_76	76	9236	9494	77	6868	1691	677	935	3303
channel_255_read_67	67	5169	5042	463	3260	1329	580	453	2362
channel_255_read_66	66	16337	16896	274	11717	3258	1362	1921	6541
